baseline,(224, 13),xgb,100,10.688,8.567,wo_calories; steps; sleep_minutes; active_calories; bed_time,False,True
kroll,(275, 13),xgb,100,10.942,8.16,bed_time; awake_count; wo_calories; sleep_minutes; active_calories,False,True
knn-intra,(224, 13),xgb,100,9.295,8.009,awake_count; wo_calories; steps; active_calories; sleep_minutes,False,True
knn-inter,(224, 13),xgb,100,10.362,8.004,steps; sleep_minutes; bed_time; awake_count; wo_calories,False,True
baseline,(224, 13),xgb,100,10.446,8.594,awake_count; wo_calories; steps; bed_time; active_calories,False,True
kroll,(275, 13),xgb,100,10.556,8.495,bed_time; awake_count; wo_calories; active_calories; steps,False,True
knn-intra,(224, 13),xgb,100,10.871,8.768,awake_count; active_calories; wo_calories; sleep_minutes; bed_time,False,True
knn-inter,(224, 13),xgb,100,10.469,7.621,bed_time; awake_count; sleep_minutes; steps; wo_calories,False,True
baseline,(224, 13),xgb,100,10.442,9.536,wo_calories; bed_time; steps; sleep_minutes; active_calories,False,True
kroll,(275, 13),xgb,100,10.447,8.135,bed_time; steps; sleep_minutes; active_minutes; wo_calories,False,True
knn-intra,(224, 13),xgb,100,9.214,8.013,awake_count; bed_time; wo_calories; active_calories; sleep_minutes,False,True
knn-inter,(224, 13),xgb,100,9.714,8.228,steps; wo_calories; awake_count; sleep_minutes; bed_time,False,True
baseline,(224, 13),xgb,100,10.152,8.138,awake_count; bed_time; steps; active_calories; sleep_minutes,False,True
kroll,(275, 13),xgb,100,10.567,8.731,awake_count; bed_time; wo_calories; steps; sleep_minutes,False,True
knn-intra,(224, 13),xgb,100,10.281,8.634,awake_count; wo_calories; bed_time; active_calories; steps,False,True
knn-inter,(224, 13),xgb,100,10.027,7.924,awake_count; steps; active_calories; sleep_minutes; bed_time,False,True
baseline,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; sleep_minutes; active_minutes,False,True
kroll,(245, 13),xgb,100,9.0,2.0,awake_count; wo_calories; sleep_minutes; steps; floors,False,True
knn-intra,(193, 13),xgb,100,12.19,7.357,awake_count; wo_calories; active_calories; bed_time; distance_cycling,False,True
knn-inter,(193, 13),xgb,100,9.713,7.831,active_calories; awake_count; sleep_minutes; bed_time; wo_calories,False,True
baseline,(224, 13),xgb,100,11.951,9.013,awake_count; wo_calories; steps; active_calories; bed_time,False,True
kroll,(275, 13),xgb,100,11.622,8.789,sleep_minutes; awake_count; active_calories; wo_calories; steps,False,True
knn-intra,(224, 13),xgb,100,10.353,7.603,awake_count; wo_calories; active_calories; steps; bed_time,False,True
knn-inter,(224, 13),xgb,100,10.411,7.871,sleep_minutes; steps; awake_count; wo_calories; bed_time,False,True
baseline,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; sleep_minutes; active_minutes,False,True
kroll,(245, 13),xgb,100,9.0,2.0,awake_count; wo_calories; sleep_minutes; steps; floors,False,True
knn-intra,(193, 13),xgb,100,12.19,7.357,awake_count; wo_calories; active_calories; bed_time; distance_cycling,False,True
knn-inter,(193, 13),xgb,100,9.713,7.831,active_calories; awake_count; sleep_minutes; bed_time; wo_calories,False,True
baseline,(224, 13),xgb,100,9.188,7.661,awake_count; wo_calories; active_calories; steps; sleep_minutes,False,True
kroll,(275, 13),xgb,100,11.007,8.404,bed_time; wo_calories; sleep_minutes; steps; awake_count,False,True
knn-intra,(224, 13),xgb,100,10.013,8.371,awake_count; active_calories; steps; wo_calories; bed_time,False,True
baseline,(224, 13),xgb,100,10.634,8.46,bed_time; wo_calories; active_minutes; active_calories; steps,False,True
kroll,(275, 13),xgb,100,10.658,8.36,awake_count; bed_time; wo_calories; steps; sleep_minutes,False,True
knn-intra,(224, 13),xgb,100,9.388,8.286,awake_count; wo_calories; bed_time; active_calories; sleep_minutes,False,True
knn-inter,(224, 13),xgb,100,10.67,8.571,awake_count; steps; sleep_minutes; active_calories; bed_time,False,True
baseline,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; sleep_minutes; active_minutes,False,True
kroll,(245, 13),xgb,100,9.0,2.0,awake_count; wo_calories; sleep_minutes; steps; floors,False,True
knn-intra,(193, 13),xgb,100,12.19,7.357,awake_count; wo_calories; active_calories; bed_time; distance_cycling,False,True
knn-inter,(193, 13),xgb,100,9.713,7.831,active_calories; awake_count; sleep_minutes; bed_time; wo_calories,False,True
baseline,(224, 13),xgb,100,9.772,8.339,awake_count; steps; wo_calories; active_calories; bed_time,False,True
kroll,(275, 13),xgb,100,10.4,8.411,awake_count; wo_calories; sleep_minutes; steps; bed_time,False,True
knn-intra,(224, 13),xgb,100,9.054,8.46,awake_count; wo_calories; bed_time; steps; active_calories,False,True
knn-inter,(224, 13),xgb,100,10.96,8.094,steps; wo_calories; sleep_minutes; awake_count; bed_time,False,True
baseline,(193, 13),xgb,100,15.0,1.0,awake_count; active_calories; wo_calories; sleep_minutes; active_minutes,False,True
kroll,(245, 13),xgb,100,9.0,2.0,awake_count; wo_calories; sleep_minutes; steps; floors,False,True
knn-intra,(193, 13),xgb,100,12.19,7.357,awake_count; wo_calories; active_calories; bed_time; distance_cycling,False,True
knn-inter,(193, 13),xgb,100,9.713,7.831,active_calories; awake_count; sleep_minutes; bed_time; wo_calories,False,True
